device=cuda  bases=['dino', 'lejepa', 'visreg']  emb_dim=100  lam=5

################ base: DINO ViT-B/16 ################
  cached plain features: /home/pharris/sigreg/SuperSig/data/dtd_feats_dino_vitb16.pt
  cached aug bank: /home/pharris/sigreg/SuperSig/data/dtd_augfeats_dino_vitb16_a24.pt
--- [dino] ss[lam5]: SupCon + SIGReg on raw z ---
  [supcon+sigreg] epoch 113/120  supcon=3.1396  sigreg=0.0272
  [supcon+sigreg] epoch 114/120  supcon=3.1312  sigreg=0.0285
  [supcon+sigreg] epoch 115/120  supcon=3.1324  sigreg=0.0293
  [supcon+sigreg] epoch 116/120  supcon=3.1275  sigreg=0.0280
  [supcon+sigreg] epoch 117/120  supcon=3.1320  sigreg=0.0282
  [supcon+sigreg] epoch 118/120  supcon=3.1297  sigreg=0.0281
  [supcon+sigreg] epoch 119/120  supcon=3.1292  sigreg=0.0264
  [supcon+sigreg] epoch 120/120  supcon=3.1323  sigreg=0.0277
--- [dino] hybrid half (NT-Xent + SIGReg lam=5) ---
  [simclr+sigreg] epoch 1/120  nt-xent=5.5234  sigreg=0.2508
  [simclr+sigreg] epoch 2/120  nt-xent=5.3014  sigreg=0.0995
  [simclr+sigreg] epoch 3/120  nt-xent=5.2539  sigreg=0.0789
  [simclr+sigreg] epoch 4/120  nt-xent=5.2361  sigreg=0.0584
  [simclr+sigreg] epoch 5/120  nt-xent=5.2013  sigreg=0.0441
  [simclr+sigreg] epoch 6/120  nt-xent=5.1846  sigreg=0.0357
  [simclr+sigreg] epoch 7/120  nt-xent=5.1745  sigreg=0.0335
  [simclr+sigreg] epoch 8/120  nt-xent=5.1706  sigreg=0.0302
  [simclr+sigreg] epoch 9/120  nt-xent=5.1589  sigreg=0.0282
  [simclr+sigreg] epoch 10/120  nt-xent=5.1555  sigreg=0.0251
  [simclr+sigreg] epoch 11/120  nt-xent=5.1494  sigreg=0.0245
  [simclr+sigreg] epoch 12/120  nt-xent=5.1496  sigreg=0.0234
  [simclr+sigreg] epoch 13/120  nt-xent=5.1434  sigreg=0.0237
  [simclr+sigreg] epoch 14/120  nt-xent=5.1406  sigreg=0.0216
  [simclr+sigreg] epoch 15/120  nt-xent=5.1408  sigreg=0.0224
  [simclr+sigreg] epoch 16/120  nt-xent=5.1421  sigreg=0.0238
  [simclr+sigreg] epoch 17/120  nt-xent=5.1405  sigreg=0.0210
  [simclr+sigreg] epoch 18/120  nt-xent=5.1347  sigreg=0.0224
  [simclr+sigreg] epoch 19/120  nt-xent=5.1317  sigreg=0.0217
  [simclr+sigreg] epoch 20/120  nt-xent=5.1287  sigreg=0.0191
  [simclr+sigreg] epoch 21/120  nt-xent=5.1217  sigreg=0.0185
  [simclr+sigreg] epoch 22/120  nt-xent=5.1248  sigreg=0.0188
  [simclr+sigreg] epoch 23/120  nt-xent=5.1221  sigreg=0.0182
  [simclr+sigreg] epoch 24/120  nt-xent=5.1197  sigreg=0.0190
  [simclr+sigreg] epoch 25/120  nt-xent=5.1198  sigreg=0.0193
  [simclr+sigreg] epoch 26/120  nt-xent=5.1172  sigreg=0.0193
  [simclr+sigreg] epoch 27/120  nt-xent=5.1163  sigreg=0.0182
  [simclr+sigreg] epoch 28/120  nt-xent=5.1137  sigreg=0.0200
  [simclr+sigreg] epoch 29/120  nt-xent=5.1160  sigreg=0.0209
  [simclr+sigreg] epoch 30/120  nt-xent=5.1147  sigreg=0.0203
  [simclr+sigreg] epoch 31/120  nt-xent=5.1100  sigreg=0.0190
  [simclr+sigreg] epoch 32/120  nt-xent=5.1105  sigreg=0.0223
  [simclr+sigreg] epoch 33/120  nt-xent=5.1119  sigreg=0.0200
  [simclr+sigreg] epoch 34/120  nt-xent=5.1100  sigreg=0.0205
  [simclr+sigreg] epoch 35/120  nt-xent=5.1081  sigreg=0.0194
  [simclr+sigreg] epoch 36/120  nt-xent=5.1055  sigreg=0.0192
  [simclr+sigreg] epoch 37/120  nt-xent=5.1042  sigreg=0.0184
  [simclr+sigreg] epoch 38/120  nt-xent=5.1016  sigreg=0.0181
  [simclr+sigreg] epoch 39/120  nt-xent=5.1017  sigreg=0.0178
  [simclr+sigreg] epoch 40/120  nt-xent=5.0976  sigreg=0.0183
  [simclr+sigreg] epoch 41/120  nt-xent=5.0991  sigreg=0.0173
  [simclr+sigreg] epoch 42/120  nt-xent=5.0953  sigreg=0.0163
  [simclr+sigreg] epoch 43/120  nt-xent=5.0950  sigreg=0.0188
  [simclr+sigreg] epoch 44/120  nt-xent=5.0951  sigreg=0.0184
  [simclr+sigreg] epoch 45/120  nt-xent=5.0971  sigreg=0.0179
  [simclr+sigreg] epoch 46/120  nt-xent=5.0882  sigreg=0.0170
  [simclr+sigreg] epoch 47/120  nt-xent=5.0923  sigreg=0.0189
  [simclr+sigreg] epoch 48/120  nt-xent=5.0894  sigreg=0.0168
  [simclr+sigreg] epoch 49/120  nt-xent=5.0884  sigreg=0.0162
  [simclr+sigreg] epoch 50/120  nt-xent=5.0879  sigreg=0.0158
  [simclr+sigreg] epoch 51/120  nt-xent=5.0874  sigreg=0.0168
  [simclr+sigreg] epoch 52/120  nt-xent=5.0861  sigreg=0.0161
  [simclr+sigreg] epoch 53/120  nt-xent=5.0848  sigreg=0.0162
  [simclr+sigreg] epoch 54/120  nt-xent=5.0841  sigreg=0.0161
  [simclr+sigreg] epoch 55/120  nt-xent=5.0843  sigreg=0.0168
  [simclr+sigreg] epoch 56/120  nt-xent=5.0835  sigreg=0.0163
  [simclr+sigreg] epoch 57/120  nt-xent=5.0808  sigreg=0.0152
  [simclr+sigreg] epoch 58/120  nt-xent=5.0801  sigreg=0.0146
  [simclr+sigreg] epoch 59/120  nt-xent=5.0810  sigreg=0.0154
  [simclr+sigreg] epoch 60/120  nt-xent=5.0802  sigreg=0.0160
  [simclr+sigreg] epoch 61/120  nt-xent=5.0766  sigreg=0.0168
  [simclr+sigreg] epoch 62/120  nt-xent=5.0791  sigreg=0.0162
  [simclr+sigreg] epoch 63/120  nt-xent=5.0778  sigreg=0.0147
  [simclr+sigreg] epoch 64/120  nt-xent=5.0746  sigreg=0.0150
  [simclr+sigreg] epoch 65/120  nt-xent=5.0745  sigreg=0.0138
  [simclr+sigreg] epoch 66/120  nt-xent=5.0761  sigreg=0.0159
  [simclr+sigreg] epoch 67/120  nt-xent=5.0726  sigreg=0.0150
  [simclr+sigreg] epoch 68/120  nt-xent=5.0748  sigreg=0.0150
  [simclr+sigreg] epoch 69/120  nt-xent=5.0723  sigreg=0.0149
  [simclr+sigreg] epoch 70/120  nt-xent=5.0729  sigreg=0.0148
  [simclr+sigreg] epoch 71/120  nt-xent=5.0725  sigreg=0.0154
  [simclr+sigreg] epoch 72/120  nt-xent=5.0698  sigreg=0.0146
  [simclr+sigreg] epoch 73/120  nt-xent=5.0713  sigreg=0.0135
  [simclr+sigreg] epoch 74/120  nt-xent=5.0700  sigreg=0.0148
  [simclr+sigreg] epoch 75/120  nt-xent=5.0679  sigreg=0.0143
  [simclr+sigreg] epoch 76/120  nt-xent=5.0670  sigreg=0.0138
  [simclr+sigreg] epoch 77/120  nt-xent=5.0686  sigreg=0.0144
  [simclr+sigreg] epoch 78/120  nt-xent=5.0660  sigreg=0.0144
  [simclr+sigreg] epoch 79/120  nt-xent=5.0659  sigreg=0.0135
  [simclr+sigreg] epoch 80/120  nt-xent=5.0662  sigreg=0.0137
  [simclr+sigreg] epoch 81/120  nt-xent=5.0649  sigreg=0.0135
  [simclr+sigreg] epoch 82/120  nt-xent=5.0631  sigreg=0.0138
  [simclr+sigreg] epoch 83/120  nt-xent=5.0655  sigreg=0.0133
  [simclr+sigreg] epoch 84/120  nt-xent=5.0632  sigreg=0.0136
  [simclr+sigreg] epoch 85/120  nt-xent=5.0625  sigreg=0.0139
  [simclr+sigreg] epoch 86/120  nt-xent=5.0613  sigreg=0.0141
  [simclr+sigreg] epoch 87/120  nt-xent=5.0609  sigreg=0.0137
  [simclr+sigreg] epoch 88/120  nt-xent=5.0612  sigreg=0.0135
  [simclr+sigreg] epoch 89/120  nt-xent=5.0619  sigreg=0.0146
  [simclr+sigreg] epoch 90/120  nt-xent=5.0614  sigreg=0.0140
  [simclr+sigreg] epoch 91/120  nt-xent=5.0601  sigreg=0.0135
  [simclr+sigreg] epoch 92/120  nt-xent=5.0602  sigreg=0.0141
  [simclr+sigreg] epoch 93/120  nt-xent=5.0597  sigreg=0.0136
  [simclr+sigreg] epoch 94/120  nt-xent=5.0573  sigreg=0.0129
  [simclr+sigreg] epoch 95/120  nt-xent=5.0572  sigreg=0.0140
  [simclr+sigreg] epoch 96/120  nt-xent=5.0584  sigreg=0.0132
  [simclr+sigreg] epoch 97/120  nt-xent=5.0569  sigreg=0.0134
  [simclr+sigreg] epoch 98/120  nt-xent=5.0542  sigreg=0.0125
  [simclr+sigreg] epoch 99/120  nt-xent=5.0561  sigreg=0.0127
  [simclr+sigreg] epoch 100/120  nt-xent=5.0561  sigreg=0.0135
  [simclr+sigreg] epoch 101/120  nt-xent=5.0564  sigreg=0.0134
  [simclr+sigreg] epoch 102/120  nt-xent=5.0560  sigreg=0.0132
  [simclr+sigreg] epoch 103/120  nt-xent=5.0573  sigreg=0.0139
  [simclr+sigreg] epoch 104/120  nt-xent=5.0563  sigreg=0.0132
  [simclr+sigreg] epoch 105/120  nt-xent=5.0526  sigreg=0.0132
  [simclr+sigreg] epoch 106/120  nt-xent=5.0535  sigreg=0.0136
  [simclr+sigreg] epoch 107/120  nt-xent=5.0531  sigreg=0.0141
  [simclr+sigreg] epoch 108/120  nt-xent=5.0511  sigreg=0.0123
  [simclr+sigreg] epoch 109/120  nt-xent=5.0523  sigreg=0.0127
  [simclr+sigreg] epoch 110/120  nt-xent=5.0515  sigreg=0.0137
  [simclr+sigreg] epoch 111/120  nt-xent=5.0504  sigreg=0.0130
  [simclr+sigreg] epoch 112/120  nt-xent=5.0496  sigreg=0.0130
  [simclr+sigreg] epoch 113/120  nt-xent=5.0510  sigreg=0.0130
  [simclr+sigreg] epoch 114/120  nt-xent=5.0498  sigreg=0.0130
  [simclr+sigreg] epoch 115/120  nt-xent=5.0481  sigreg=0.0122
  [simclr+sigreg] epoch 116/120  nt-xent=5.0475  sigreg=0.0122
  [simclr+sigreg] epoch 117/120  nt-xent=5.0474  sigreg=0.0127
  [simclr+sigreg] epoch 118/120  nt-xent=5.0475  sigreg=0.0124
  [simclr+sigreg] epoch 119/120  nt-xent=5.0481  sigreg=0.0131
  [simclr+sigreg] epoch 120/120  nt-xent=5.0466  sigreg=0.0128
--- [dino] SupCon (aug) reference ---
  [supcon] epoch 1/120  loss=5.6386
  [supcon] epoch 2/120  loss=4.9624
  [supcon] epoch 3/120  loss=4.6858
  [supcon] epoch 4/120  loss=4.5011
  [supcon] epoch 5/120  loss=4.3234
  [supcon] epoch 6/120  loss=4.2069
  [supcon] epoch 7/120  loss=4.0767
  [supcon] epoch 8/120  loss=3.9697
  [supcon] epoch 9/120  loss=3.8432
  [supcon] epoch 10/120  loss=3.7566
  [supcon] epoch 11/120  loss=3.6618
  [supcon] epoch 12/120  loss=3.5836
  [supcon] epoch 13/120  loss=3.5245
  [supcon] epoch 14/120  loss=3.4753
  [supcon] epoch 15/120  loss=3.4258
  [supcon] epoch 16/120  loss=3.3830
  [supcon] epoch 17/120  loss=3.3503
  [supcon] epoch 18/120  loss=3.3200
  [supcon] epoch 19/120  loss=3.2992
  [supcon] epoch 20/120  loss=3.2807
  [supcon] epoch 21/120  loss=3.2609
  [supcon] epoch 22/120  loss=3.2397
  [supcon] epoch 23/120  loss=3.2311
  [supcon] epoch 24/120  loss=3.2143
  [supcon] epoch 25/120  loss=3.2177
  [supcon] epoch 26/120  loss=3.2041
  [supcon] epoch 27/120  loss=3.1935
  [supcon] epoch 28/120  loss=3.1905
  [supcon] epoch 29/120  loss=3.1848
  [supcon] epoch 30/120  loss=3.1796
  [supcon] epoch 31/120  loss=3.1645
  [supcon] epoch 32/120  loss=3.1675
  [supcon] epoch 33/120  loss=3.1624
  [supcon] epoch 34/120  loss=3.1559
  [supcon] epoch 35/120  loss=3.1569
  [supcon] epoch 36/120  loss=3.1481
  [supcon] epoch 37/120  loss=3.1398
  [supcon] epoch 38/120  loss=3.1379
  [supcon] epoch 39/120  loss=3.1357
  [supcon] epoch 40/120  loss=3.1366
  [supcon] epoch 41/120  loss=3.1316
  [supcon] epoch 42/120  loss=3.1341
  [supcon] epoch 43/120  loss=3.1428
  [supcon] epoch 44/120  loss=3.1311
  [supcon] epoch 45/120  loss=3.1276
  [supcon] epoch 46/120  loss=3.1265
  [supcon] epoch 47/120  loss=3.1256
  [supcon] epoch 48/120  loss=3.1226
  [supcon] epoch 49/120  loss=3.1190
  [supcon] epoch 50/120  loss=3.1226
  [supcon] epoch 51/120  loss=3.1177
  [supcon] epoch 52/120  loss=3.1165
  [supcon] epoch 53/120  loss=3.1179
  [supcon] epoch 54/120  loss=3.1164
  [supcon] epoch 55/120  loss=3.1146
  [supcon] epoch 56/120  loss=3.1138
  [supcon] epoch 57/120  loss=3.1117
  [supcon] epoch 58/120  loss=3.1148
  [supcon] epoch 59/120  loss=3.1114
  [supcon] epoch 60/120  loss=3.1099
  [supcon] epoch 61/120  loss=3.1056
  [supcon] epoch 62/120  loss=3.1149
  [supcon] epoch 63/120  loss=3.1053
  [supcon] epoch 64/120  loss=3.1069
  [supcon] epoch 65/120  loss=3.1044
  [supcon] epoch 66/120  loss=3.1053
  [supcon] epoch 67/120  loss=3.0987
  [supcon] epoch 68/120  loss=3.1069
  [supcon] epoch 69/120  loss=3.1058
  [supcon] epoch 70/120  loss=3.1050
  [supcon] epoch 71/120  loss=3.1006
  [supcon] epoch 72/120  loss=3.1093
  [supcon] epoch 73/120  loss=3.1002
  [supcon] epoch 74/120  loss=3.1042
  [supcon] epoch 75/120  loss=3.0977
  [supcon] epoch 76/120  loss=3.0969
  [supcon] epoch 77/120  loss=3.0976
  [supcon] epoch 78/120  loss=3.0920
  [supcon] epoch 79/120  loss=3.0975
  [supcon] epoch 80/120  loss=3.0981
  [supcon] epoch 81/120  loss=3.1005
  [supcon] epoch 82/120  loss=3.0985
  [supcon] epoch 83/120  loss=3.0910
  [supcon] epoch 84/120  loss=3.1026
  [supcon] epoch 85/120  loss=3.0945
  [supcon] epoch 86/120  loss=3.0950
  [supcon] epoch 87/120  loss=3.0953
  [supcon] epoch 88/120  loss=3.1075
  [supcon] epoch 89/120  loss=3.0938
  [supcon] epoch 90/120  loss=3.0899
  [supcon] epoch 91/120  loss=3.0999
  [supcon] epoch 92/120  loss=3.0976
  [supcon] epoch 93/120  loss=3.0989
  [supcon] epoch 94/120  loss=3.1014
  [supcon] epoch 95/120  loss=3.0986
  [supcon] epoch 96/120  loss=3.1012
  [supcon] epoch 97/120  loss=3.0943
  [supcon] epoch 98/120  loss=3.0900
  [supcon] epoch 99/120  loss=3.0942
  [supcon] epoch 100/120  loss=3.0989
  [supcon] epoch 101/120  loss=3.0898
  [supcon] epoch 102/120  loss=3.0915
  [supcon] epoch 103/120  loss=3.0985
  [supcon] epoch 104/120  loss=3.0907
  [supcon] epoch 105/120  loss=3.0930
  [supcon] epoch 106/120  loss=3.0917
  [supcon] epoch 107/120  loss=3.0919
  [supcon] epoch 108/120  loss=3.0857
  [supcon] epoch 109/120  loss=3.0892
  [supcon] epoch 110/120  loss=3.0961
  [supcon] epoch 111/120  loss=3.0824
  [supcon] epoch 112/120  loss=3.0851
  [supcon] epoch 113/120  loss=3.0874
  [supcon] epoch 114/120  loss=3.0833
  [supcon] epoch 115/120  loss=3.0850
  [supcon] epoch 116/120  loss=3.0873
  [supcon] epoch 117/120  loss=3.0807
  [supcon] epoch 118/120  loss=3.0894
  [supcon] epoch 119/120  loss=3.0801
  [supcon] epoch 120/120  loss=3.0928
--- [dino] supcon->res-hybrid (residual, augmented) ---
  [simclr-residual] epoch 1/120  loss=5.5155  sigreg=0.5006
  [simclr-residual] epoch 2/120  loss=5.2523  sigreg=0.1802
  [simclr-residual] epoch 3/120  loss=5.2425  sigreg=0.1139
  [simclr-residual] epoch 4/120  loss=5.1964  sigreg=0.0784
  [simclr-residual] epoch 5/120  loss=5.1751  sigreg=0.0683
  [simclr-residual] epoch 6/120  loss=5.1715  sigreg=0.0564
  [simclr-residual] epoch 7/120  loss=5.1677  sigreg=0.0514
  [simclr-residual] epoch 8/120  loss=5.1575  sigreg=0.0507
  [simclr-residual] epoch 9/120  loss=5.1472  sigreg=0.0428
  [simclr-residual] epoch 10/120  loss=5.1446  sigreg=0.0411
  [simclr-residual] epoch 11/120  loss=5.1450  sigreg=0.0407
  [simclr-residual] epoch 12/120  loss=5.1364  sigreg=0.0396
  [simclr-residual] epoch 13/120  loss=5.1306  sigreg=0.0368
  [simclr-residual] epoch 14/120  loss=5.1251  sigreg=0.0379
  [simclr-residual] epoch 15/120  loss=5.1201  sigreg=0.0344
  [simclr-residual] epoch 16/120  loss=5.1202  sigreg=0.0338
  [simclr-residual] epoch 17/120  loss=5.1169  sigreg=0.0324
  [simclr-residual] epoch 18/120  loss=5.1150  sigreg=0.0322
  [simclr-residual] epoch 19/120  loss=5.1122  sigreg=0.0300
  [simclr-residual] epoch 20/120  loss=5.1105  sigreg=0.0302
  [simclr-residual] epoch 21/120  loss=5.1085  sigreg=0.0298
  [simclr-residual] epoch 22/120  loss=5.1031  sigreg=0.0267
  [simclr-residual] epoch 23/120  loss=5.1030  sigreg=0.0281
  [simclr-residual] epoch 24/120  loss=5.1013  sigreg=0.0295
  [simclr-residual] epoch 25/120  loss=5.1000  sigreg=0.0295
  [simclr-residual] epoch 26/120  loss=5.0989  sigreg=0.0280
  [simclr-residual] epoch 27/120  loss=5.0948  sigreg=0.0254
  [simclr-residual] epoch 28/120  loss=5.0937  sigreg=0.0265
  [simclr-residual] epoch 29/120  loss=5.0908  sigreg=0.0260
  [simclr-residual] epoch 30/120  loss=5.0886  sigreg=0.0248
  [simclr-residual] epoch 31/120  loss=5.0864  sigreg=0.0240
  [simclr-residual] epoch 32/120  loss=5.0872  sigreg=0.0258
  [simclr-residual] epoch 33/120  loss=5.0848  sigreg=0.0271
  [simclr-residual] epoch 34/120  loss=5.0845  sigreg=0.0258
  [simclr-residual] epoch 35/120  loss=5.0833  sigreg=0.0219
  [simclr-residual] epoch 36/120  loss=5.0804  sigreg=0.0275
  [simclr-residual] epoch 37/120  loss=5.0798  sigreg=0.0247
  [simclr-residual] epoch 38/120  loss=5.0785  sigreg=0.0235
  [simclr-residual] epoch 39/120  loss=5.0783  sigreg=0.0246
