device=cuda  bases=['dino', 'lejepa', 'visreg']  emb_dim=16  lam=5

################ base: DINO ViT-B/16 ################
  cached plain features: /home/pharris/sigreg/SuperSig/data/dtd_feats_dino_vitb16.pt
  cached aug bank: /home/pharris/sigreg/SuperSig/data/dtd_augfeats_dino_vitb16_a24.pt
--- [dino] ss[lam5]: SupCon + SIGReg on raw z ---
  [simclr+sigreg] epoch 14/120  nt-xent=5.1849  sigreg=0.0148
  [simclr+sigreg] epoch 15/120  nt-xent=5.1783  sigreg=0.0133
  [simclr+sigreg] epoch 16/120  nt-xent=5.1795  sigreg=0.0127
  [simclr+sigreg] epoch 17/120  nt-xent=5.1712  sigreg=0.0121
  [simclr+sigreg] epoch 18/120  nt-xent=5.1696  sigreg=0.0105
  [simclr+sigreg] epoch 19/120  nt-xent=5.1671  sigreg=0.0102
  [simclr+sigreg] epoch 20/120  nt-xent=5.1621  sigreg=0.0092
  [simclr+sigreg] epoch 21/120  nt-xent=5.1667  sigreg=0.0117
  [simclr+sigreg] epoch 22/120  nt-xent=5.1603  sigreg=0.0083
  [simclr+sigreg] epoch 23/120  nt-xent=5.1631  sigreg=0.0116
  [simclr+sigreg] epoch 24/120  nt-xent=5.1595  sigreg=0.0106
  [simclr+sigreg] epoch 25/120  nt-xent=5.1609  sigreg=0.0111
  [simclr+sigreg] epoch 26/120  nt-xent=5.1574  sigreg=0.0104
  [simclr+sigreg] epoch 27/120  nt-xent=5.1548  sigreg=0.0113
  [simclr+sigreg] epoch 28/120  nt-xent=5.1535  sigreg=0.0105
  [simclr+sigreg] epoch 29/120  nt-xent=5.1525  sigreg=0.0093
  [simclr+sigreg] epoch 30/120  nt-xent=5.1489  sigreg=0.0100
  [simclr+sigreg] epoch 31/120  nt-xent=5.1477  sigreg=0.0092
  [simclr+sigreg] epoch 32/120  nt-xent=5.1495  sigreg=0.0106
  [simclr+sigreg] epoch 33/120  nt-xent=5.1486  sigreg=0.0101
  [simclr+sigreg] epoch 34/120  nt-xent=5.1485  sigreg=0.0110
  [simclr+sigreg] epoch 35/120  nt-xent=5.1444  sigreg=0.0102
  [simclr+sigreg] epoch 36/120  nt-xent=5.1438  sigreg=0.0095
  [simclr+sigreg] epoch 37/120  nt-xent=5.1450  sigreg=0.0102
  [simclr+sigreg] epoch 38/120  nt-xent=5.1463  sigreg=0.0137
  [simclr+sigreg] epoch 39/120  nt-xent=5.1459  sigreg=0.0116
  [simclr+sigreg] epoch 40/120  nt-xent=5.1402  sigreg=0.0094
  [simclr+sigreg] epoch 41/120  nt-xent=5.1400  sigreg=0.0097
  [simclr+sigreg] epoch 42/120  nt-xent=5.1367  sigreg=0.0081
  [simclr+sigreg] epoch 43/120  nt-xent=5.1393  sigreg=0.0093
  [simclr+sigreg] epoch 44/120  nt-xent=5.1359  sigreg=0.0088
  [simclr+sigreg] epoch 45/120  nt-xent=5.1373  sigreg=0.0101
  [simclr+sigreg] epoch 46/120  nt-xent=5.1364  sigreg=0.0096
  [simclr+sigreg] epoch 47/120  nt-xent=5.1397  sigreg=0.0110
  [simclr+sigreg] epoch 48/120  nt-xent=5.1357  sigreg=0.0107
  [simclr+sigreg] epoch 49/120  nt-xent=5.1348  sigreg=0.0103
