/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
Using cache found in /home/pharris/.cache/torch/hub/facebookresearch_dino_main
exp51 [aircraft_dino_nplm-sup-ft] NPLM suite, dim=32, epochs=120, holdouts=[90, 91, 92, 93, 94, 95, 96, 97, 98, 99], lam=1.0, arms=['simclr', 'lejepa', 'simclr_sigreg', 'supcon', 'supcon_sigreg', 'nplm_bilinear', 'nplm_distance', 'nplm_sup_dist']
  loading ft trunk /home/pharris/sigreg/SuperSig/checkpoints/aircraft_ft_dino_nplm-sup-ft.pt
  aircraft_dino_vitb16_nplm-sup-ft aug replica 1/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 2/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 3/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 4/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 5/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 6/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 7/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 8/8
  train pool 6667 (seen bank 6000), test pool 3333 (333 holdout)

----- simclr (augmentations only) -----
  [sigreg-ssl] epoch 30/120  inv=0.0555  sigreg=0.0629
  [sigreg-ssl] epoch 31/120  inv=0.0524  sigreg=0.0624
  [sigreg-ssl] epoch 32/120  inv=0.0526  sigreg=0.0600
  [sigreg-ssl] epoch 33/120  inv=0.0515  sigreg=0.0615
  [sigreg-ssl] epoch 34/120  inv=0.0517  sigreg=0.0626
  [sigreg-ssl] epoch 35/120  inv=0.0514  sigreg=0.0630
  [sigreg-ssl] epoch 36/120  inv=0.0500  sigreg=0.0602
  [sigreg-ssl] epoch 37/120  inv=0.0518  sigreg=0.0618
  [sigreg-ssl] epoch 38/120  inv=0.0507  sigreg=0.0592
  [sigreg-ssl] epoch 39/120  inv=0.0518  sigreg=0.0588
  [sigreg-ssl] epoch 40/120  inv=0.0503  sigreg=0.0608
  [sigreg-ssl] epoch 41/120  inv=0.0499  sigreg=0.0606
  [sigreg-ssl] epoch 42/120  inv=0.0509  sigreg=0.0592
  [sigreg-ssl] epoch 43/120  inv=0.0485  sigreg=0.0612
  [sigreg-ssl] epoch 44/120  inv=0.0488  sigreg=0.0617
  [sigreg-ssl] epoch 45/120  inv=0.0485  sigreg=0.0571
  [sigreg-ssl] epoch 46/120  inv=0.0476  sigreg=0.0570
  [sigreg-ssl] epoch 47/120  inv=0.0486  sigreg=0.0519
  [sigreg-ssl] epoch 48/120  inv=0.0489  sigreg=0.0524
  [sigreg-ssl] epoch 49/120  inv=0.0485  sigreg=0.0536
  [sigreg-ssl] epoch 50/120  inv=0.0476  sigreg=0.0542
  [sigreg-ssl] epoch 51/120  inv=0.0466  sigreg=0.0545
  [sigreg-ssl] epoch 52/120  inv=0.0467  sigreg=0.0555
  [sigreg-ssl] epoch 53/120  inv=0.0461  sigreg=0.0563
  [sigreg-ssl] epoch 54/120  inv=0.0480  sigreg=0.0544
  [sigreg-ssl] epoch 55/120  inv=0.0465  sigreg=0.0536
  [sigreg-ssl] epoch 56/120  inv=0.0469  sigreg=0.0509
  [sigreg-ssl] epoch 57/120  inv=0.0473  sigreg=0.0532
  [sigreg-ssl] epoch 58/120  inv=0.0454  sigreg=0.0546
  [sigreg-ssl] epoch 59/120  inv=0.0459  sigreg=0.0480
  [sigreg-ssl] epoch 60/120  inv=0.0461  sigreg=0.0508
  [sigreg-ssl] epoch 61/120  inv=0.0467  sigreg=0.0504
  [sigreg-ssl] epoch 62/120  inv=0.0444  sigreg=0.0510
  [sigreg-ssl] epoch 63/120  inv=0.0460  sigreg=0.0476
  [sigreg-ssl] epoch 64/120  inv=0.0454  sigreg=0.0518
  [sigreg-ssl] epoch 65/120  inv=0.0458  sigreg=0.0492
  [sigreg-ssl] epoch 66/120  inv=0.0448  sigreg=0.0467
  [sigreg-ssl] epoch 67/120  inv=0.0448  sigreg=0.0471
  [sigreg-ssl] epoch 68/120  inv=0.0455  sigreg=0.0455
  [sigreg-ssl] epoch 69/120  inv=0.0446  sigreg=0.0455
  [sigreg-ssl] epoch 70/120  inv=0.0435  sigreg=0.0484
  [sigreg-ssl] epoch 71/120  inv=0.0440  sigreg=0.0484
  [sigreg-ssl] epoch 72/120  inv=0.0450  sigreg=0.0472
  [sigreg-ssl] epoch 73/120  inv=0.0437  sigreg=0.0472
  [sigreg-ssl] epoch 74/120  inv=0.0436  sigreg=0.0496
  [sigreg-ssl] epoch 75/120  inv=0.0442  sigreg=0.0494
  [sigreg-ssl] epoch 76/120  inv=0.0431  sigreg=0.0466
  [sigreg-ssl] epoch 77/120  inv=0.0431  sigreg=0.0482
  [sigreg-ssl] epoch 78/120  inv=0.0421  sigreg=0.0468
  [sigreg-ssl] epoch 79/120  inv=0.0422  sigreg=0.0469
  [sigreg-ssl] epoch 80/120  inv=0.0411  sigreg=0.0448
  [sigreg-ssl] epoch 81/120  inv=0.0425  sigreg=0.0458
  [sigreg-ssl] epoch 82/120  inv=0.0433  sigreg=0.0467
  [sigreg-ssl] epoch 83/120  inv=0.0426  sigreg=0.0429
  [sigreg-ssl] epoch 84/120  inv=0.0418  sigreg=0.0442
  [sigreg-ssl] epoch 85/120  inv=0.0429  sigreg=0.0473
  [sigreg-ssl] epoch 86/120  inv=0.0422  sigreg=0.0453
  [sigreg-ssl] epoch 87/120  inv=0.0407  sigreg=0.0483
  [sigreg-ssl] epoch 88/120  inv=0.0414  sigreg=0.0487
  [sigreg-ssl] epoch 89/120  inv=0.0424  sigreg=0.0459
  [sigreg-ssl] epoch 90/120  inv=0.0424  sigreg=0.0436
  [sigreg-ssl] epoch 91/120  inv=0.0414  sigreg=0.0426
  [sigreg-ssl] epoch 92/120  inv=0.0413  sigreg=0.0431
  [sigreg-ssl] epoch 93/120  inv=0.0410  sigreg=0.0449
  [sigreg-ssl] epoch 94/120  inv=0.0413  sigreg=0.0435
  [sigreg-ssl] epoch 95/120  inv=0.0410  sigreg=0.0446
  [sigreg-ssl] epoch 96/120  inv=0.0410  sigreg=0.0436
  [sigreg-ssl] epoch 97/120  inv=0.0409  sigreg=0.0455
  [sigreg-ssl] epoch 98/120  inv=0.0397  sigreg=0.0442
  [sigreg-ssl] epoch 99/120  inv=0.0399  sigreg=0.0442
  [sigreg-ssl] epoch 100/120  inv=0.0409  sigreg=0.0428
  [sigreg-ssl] epoch 101/120  inv=0.0413  sigreg=0.0429
  [sigreg-ssl] epoch 102/120  inv=0.0398  sigreg=0.0448
  [sigreg-ssl] epoch 103/120  inv=0.0394  sigreg=0.0420
  [sigreg-ssl] epoch 104/120  inv=0.0390  sigreg=0.0442
  [sigreg-ssl] epoch 105/120  inv=0.0404  sigreg=0.0457
  [sigreg-ssl] epoch 106/120  inv=0.0408  sigreg=0.0454
  [sigreg-ssl] epoch 107/120  inv=0.0392  sigreg=0.0449
  [sigreg-ssl] epoch 108/120  inv=0.0397  sigreg=0.0450
  [sigreg-ssl] epoch 109/120  inv=0.0404  sigreg=0.0439
  [sigreg-ssl] epoch 110/120  inv=0.0401  sigreg=0.0430
  [sigreg-ssl] epoch 111/120  inv=0.0396  sigreg=0.0438
  [sigreg-ssl] epoch 112/120  inv=0.0394  sigreg=0.0424
  [sigreg-ssl] epoch 113/120  inv=0.0396  sigreg=0.0422
  [sigreg-ssl] epoch 114/120  inv=0.0390  sigreg=0.0418
  [sigreg-ssl] epoch 115/120  inv=0.0391  sigreg=0.0413
  [sigreg-ssl] epoch 116/120  inv=0.0387  sigreg=0.0425
  [sigreg-ssl] epoch 117/120  inv=0.0386  sigreg=0.0407
  [sigreg-ssl] epoch 118/120  inv=0.0395  sigreg=0.0402
  [sigreg-ssl] epoch 119/120  inv=0.0394  sigreg=0.0419
  [sigreg-ssl] epoch 120/120  inv=0.0381  sigreg=0.0449
  [lejepa        ] probe=0.7203+-0.0055 acc=0.1233 supAUC=0.7919 eucl=0.4641 mahaT=0.5380 mahaPC=0.5626

----- simclr_sigreg (augmentations only) -----
  [softmax/cosine] epoch 1/120  interaction=6.0004  marginal=0.4162
  [softmax/cosine] epoch 2/120  interaction=5.5866  marginal=0.1711
  [softmax/cosine] epoch 3/120  interaction=5.4691  marginal=0.1008
  [softmax/cosine] epoch 4/120  interaction=5.4133  marginal=0.0819
  [softmax/cosine] epoch 5/120  interaction=5.3766  marginal=0.0680
  [softmax/cosine] epoch 6/120  interaction=5.3539  marginal=0.0610
  [softmax/cosine] epoch 7/120  interaction=5.3375  marginal=0.0624
  [softmax/cosine] epoch 8/120  interaction=5.3262  marginal=0.0592
  [softmax/cosine] epoch 9/120  interaction=5.3052  marginal=0.0521
  [softmax/cosine] epoch 10/120  interaction=5.2885  marginal=0.0484
  [softmax/cosine] epoch 11/120  interaction=5.2801  marginal=0.0452
  [softmax/cosine] epoch 12/120  interaction=5.2653  marginal=0.0413
  [softmax/cosine] epoch 13/120  interaction=5.2587  marginal=0.0406
  [softmax/cosine] epoch 14/120  interaction=5.2519  marginal=0.0395
